Make,Fuel-Type,Aspiration,Number-Doors,Body-Style,Drive-Wheels,Engine-Location,Wheel-Base,Length,Width,Height,Curb-Weight,Engine-Type,Number-Cylinders,Engine-Size,Fuel-System,Bore,Stroke,Compression-Ratio,Horsepower,Peak-RPM,City-MPG,Highway-MPG,Price
Alfa-Romero,Gas,Standard,Two,Convertible,Rear,Front,88.6,168.8,64.1,48.8,2548,DOHC,Four,130,MPFI,3.47,2.68,9,111,5000,21,27,13495
Alfa-Romero,Gas,Standard,Two,Convertible,Rear,Front,88.6,168.8,64.1,48.8,2548,DOHC,Four,130,MPFI,3.47,2.68,9,111,5000,21,27,16500
Alfa-Romero,Gas,Standard,Two,Hatchback,Rear,Front,94.5,171.2,65.5,52.4,2823,OHCV,Six,152,MPFI,2.68,3.47,9,154,5000,19,26,16500
Audi,Gas,Standard,Four,Sedan,Front,Front,99.8,176.6,66.2,54.3,2337,OHC,Four,109,MPFI,3.19,3.4,10,102,5500,24,30,13950
Audi,Gas,Standard,Four,Sedan,Four-Wheel,Front,99.4,176.6,66.4,54.3,2824,OHC,Five,136,MPFI,3.19,3.4,8,115,5500,18,22,17450
Audi,Gas,Standard,Two,Sedan,Front,Front,99.8,177.3,66.3,53.1,2507,OHC,Five,136,MPFI,3.19,3.4,8.5,110,5500,19,25,15250
Audi,Gas,Standard,Four,Sedan,Front,Front,105.8,192.7,71.4,55.7,2844,OHC,Five,136,MPFI,3.19,3.4,8.5,110,5500,19,25,17710
Audi,Gas,Standard,Four,Wagon,Front,Front,105.8,192.7,71.4,55.7,2954,OHC,Five,136,MPFI,3.19,3.4,8.5,110,5500,19,25,18920
Audi,Gas,Turbo,Four,Sedan,Front,Front,105.8,192.7,71.4,55.9,3086,OHC,Five,131,MPFI,3.13,3.4,8.3,140,5500,17,20,23875
BMW,Gas,Standard,Two,Sedan,Rear,Front,101.2,176.8,64.8,54.3,2395,OHC,Four,108,MPFI,3.5,2.8,8.8,101,5800,23,29,16430
BMW,Gas,Standard,Four,Sedan,Rear,Front,101.2,176.8,64.8,54.3,2395,OHC,Four,108,MPFI,3.5,2.8,8.8,101,5800,23,29,16925
BMW,Gas,Standard,Two,Sedan,Rear,Front,101.2,176.8,64.8,54.3,2710,OHC,Six,164,MPFI,3.31,3.19,9,121,4250,21,28,20970
BMW,Gas,Standard,Four,Sedan,Rear,Front,101.2,176.8,64.8,54.3,2765,OHC,Six,164,MPFI,3.31,3.19,9,121,4250,21,28,21105
BMW,Gas,Standard,Four,Sedan,Rear,Front,103.5,189,66.9,55.7,3055,OHC,Six,164,MPFI,3.31,3.19,9,121,4250,20,25,24565
BMW,Gas,Standard,Four,Sedan,Rear,Front,103.5,189,66.9,55.7,3230,OHC,Six,209,MPFI,3.62,3.39,8,182,5400,16,22,30760
BMW,Gas,Standard,Two,Sedan,Rear,Front,103.5,193.8,67.9,53.7,3380,OHC,Six,209,MPFI,3.62,3.39,8,182,5400,16,22,41315
BMW,Gas,Standard,Four,Sedan,Rear,Front,110,197,70.9,56.3,3505,OHC,Six,209,MPFI,3.62,3.39,8,182,5400,15,20,36880
Chevrolet,Gas,Standard,Two,Hatchback,Front,Front,88.4,141.1,60.3,53.2,1488,L,Three,61,2BBL,2.91,3.03,9.5,48,5100,47,53,5151
Chevrolet,Gas,Standard,Two,Hatchback,Front,Front,94.5,155.9,63.6,52,1874,OHC,Four,90,2BBL,3.03,3.11,9.6,70,5400,38,43,6295
Chevrolet,Gas,Standard,Four,Sedan,Front,Front,94.5,158.8,63.6,52,1909,OHC,Four,90,2BBL,3.03,3.11,9.6,70,5400,38,43,6575
Dodge,Gas,Standard,Two,Hatchback,Front,Front,93.7,157.3,63.8,50.8,1876,OHC,Four,90,2BBL,2.97,3.23,9.41,68,5500,37,41,5572
Dodge,Gas,Standard,Two,Hatchback,Front,Front,93.7,157.3,63.8,50.8,1876,OHC,Four,90,2BBL,2.97,3.23,9.4,68,5500,31,38,6377
Dodge,Gas,Turbo,Two,Hatchback,Front,Front,93.7,157.3,63.8,50.8,2128,OHC,Four,98,MPFI,3.03,3.39,7.6,102,5500,24,30,7957
